楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,平均スコア,最小スコア,最大スコア,s6前スコア,ポイント
108,3,108_3,589,134.4,425.4,14.2,19.645,16.867,18.972,32.445,16.848,342.037,278.255,22,44,96,119,171,193,249,272,340,369,459,483,332,388,3128344.544,3112117.281,3138263.723,2646664.915,365.354118
108,4,108_4,914,134.4,660.3,23.6,26.866,31.394,26.803,38.5875,29.46,544.925,415.085,29,74,166,197,272,308,385,418,512,549,684,733,502,592,3188065.118,3179208.542,3194091.976,2580886.289,369.5345583
108,5,108_5,1075,134.4,1000.1,45.06,37.332,38.12,38.85,53.901,46.44,842.6395,601.7795,66,106,220,261,356,401,510,555,642,683,839,878,629,735,3223205.158,3215872.285,3227253.768,2517826.828,371.994361
109,1,109_1,146,113.14286,98.9,4,4,5,6,5.406,7.07,75.669,70.114,9,11,17,19,24,27,51,54,89,106,129,134,49,62,3162326.737,3155167.053,3168701.707,2663560.756,343.011334
109,2,109_2,292,113.14286,217.6,8,10,15,18.18,10.914,9.18,161.9895,141.6915,22,28,47,55,68,80,131,142,209,225,259,264,127,154,3259501.208,3242418.409,3272925.186,2862022.396,349.3562554
109,3,109_3,572,113.14286,538.5,24.1,21.513,31.511,28.917,21.32,30.355,415.8535,362.9135,41,65,116,139,173,210,269,295,417,441,485,510,260,316,3170286.468,3162652.086,3176017.941,2669339.739,343.5310576
109,4,109_4,898,113.14286,789.1,35.964,37.528,41.147,49.764,33.072,43.32,618.918,536.386,78,120,190,234,293,338,436,475,643,693,772,811,422,511,3382306.503,3374015.671,3388028.406,2861041.386,357.3747187
109,5,109_5,1019,113.14286,946.1,40.338,46.206,38.316,73.335,51.808,44.062,745.862,652.784,93,141,221,268,332,377,497,548,751,802,887,925,479,580,3469649.336,3454075.244,3479037.424,3004833.76,363.0776919
110,1,110_1,206,121.55844,114.9,5,4,5.4,5.7,5.442,11.514,84.9,63.868,19,22,29,32,53,70,77,88,98,115,163,175,161,179,3145700.049,3142365.401,3151248.373,2284290.018,351.1669444
110,2,110_2,427,121.55844,319.2,14.2,10.7,11.918,14.14,21.828,23.793,239.205,167.996,25,39,71,87,123,141,166,179,216,233,317,353,313,354,3148153.34,3135136.926,3156484.754,2345302.71,351.3314592
110,3,110_3,777,121.55844,717.9,39,22.927,43.452,42.024,37.856,60.222,529.556,377.509,47,77,144,168,231,264,311,346,430,454,586,624,571,646,3456737.093,3450277.225,3468277.646,2592278.761,372.0247227
110,4,110_4,1000,121.55844,985.7,45.2,46.384,36.565,48.415,53.97,69.1755,774.5735,552.027,53,91,174,217,301,332,387,427,520,557,755,799,740,839,3392457.15,3387171.691,3398543.922,2566387.973,367.7141854
110,5,110_5,1257,121.55844,1340.3,67.17,56.712,55.402,63.84,58.322,98.778,1086.841,770.286,61,112,234,289,399,449,526,581,693,741,981,1040,964,1088,3489296.434,3485602.973,3492057.383,2599848.9,374.2081138
111,1,111_1,125,108.88889,70.3,3.7,3,3,7.5,3.7,4.323,50.806,46.15,10,19,23,25,29,31,54,58,80,89,99,105,49,60,3298640.391,3273509.694,3310531.031,2846254.986,348.7414371
111,2,111_2,244,108.88889,161.8,5.3,9.1,6.5,16.968,10.201,6.222,120.4915,111.7195,8,15,23,32,57,76,122,134,177,187,214,220,117,140,3307227.666,3280568.438,3325593.453,2994029.272,349.2970843
111,3,111_3,459,108.88889,389,16.9,22.1,23.432,26.316,23.836,17.098,292.006,264.145,23,46,78,99,135,157,227,245,295,318,367,388,220,264,3395605.954,3389283.212,3404307.034,3011411.053,355.0156794
111,4,111_4,686,108.88889,627.8,31.1,39.442,36.58,42.951,33.28,31.92,466.0325,413.0505,18,48,88,126,187,220,329,363,446,475,557,590,317,384,3548316.246,3541467.705,3554642.373,3086672.914,364.8969336
111,5,111_5,806,108.88889,775.5,32.1,42.824,39.882,45.552,41.16,37.22,608.0975,528.8735,26,57,115,158,227,265,413,452,550,588,678,712,396,476,3458315.926,3453553.067,3464978.16,2975821.197,359.0733834
112,1,112_1,212,111.9171,136.2,5.7,5.7,6,14.4,9.09,10.201,92.869,68.37,21,32,43,54,61,66,85,99,136,140,146,167,83,103,3392627.303,3365742.404,3405773.584,2674779.776,364.4999325
112,2,112_2,390,111.9171,283.9,9.4,9.4,13.13,23.331,29.58,20.188,195.846,147.951,36,48,68,80,104,124,168,194,268,282,309,326,164,201,3438602.302,3409399.318,3458242.194,2747016.867,367.5559177
112,3,112_3,636,111.9171,614.8,17.896,17.877,25.602,45.8715,48.88,33.37,478.553,369.015,91,115,145,168,209,232,300,327,413,441,487,527,294,357,3273221.82,3252457.543,3289520.112,2654548.061,356.5629798
112,4,112_4,985,111.9171,953.8,34.441,34.68,38.11,76.809,61.48,54.105,749.1875,569.4705,142,183,227,267,341,375,477,526,655,694,762,807,465,562,3470693.626,3450600.559,3482739.143,2789827.132,369.6890469
112,5,112_5,1235,111.9171,1265.3,54.531,52.915,52,106.848,65.88,64.023,1017.304,785.614,180,229,288,339,433,480,607,663,813,857,948,1004,595,717,3556534.576,3536601.602,3565540.909,2912091.053,375.3949453
113,1,113_1,235,118.15385,130.1,5,5,6.4,5.7,11.6655,10.1,93.627,71.612,5,9,21,25,37,55,78,89,115,128,171,179,112,133,3215760.264,3194937.104,3225449.153,2502272.996,355.8651
113,2,113_2,293,118.15385,215.2,9,7,9,10.1,21.21,15.3,160.845,124.635,9,17,41,47,87,95,119,137,179,192,241,254,174,202,3294705.985,3269041.528,3307745.449,2607225.511,361.1591072
113,3,113_3,776,118.15385,568.6,34.6,20.846,36.256,17.68,38.9025,32.118,444.359,369.317,57,92,193,233,332,364,426,460,546,574,662,689,537,613,3348120.825,3336616.686,3363099.138,2788887.107,364.7410436
113,4,113_4,1156,118.15385,883.3,46.097,28.786,57.578,33.752,69.66,50.036,693.4385,577.7985,97,144,293,337,483,543,661,708,810,859,979,1025,793,906,3515187.95,3497588.977,3530527.247,2935740.702,375.9443684
113,5,113_5,1396,118.15385,1132.7,52.318,42.539,65.802,48.882,83.9535,64.57,905.482,758.192,114,170,348,399,565,630,768,826,938,1007,1153,1221,916,1054,3567738.806,3552679.76,3578184.698,2974410.034,379.468367
114,1,114_1,152,108.67925,109.4,4,7.5,4,5.2,10.9995,8.282,76.453,66.353,12,15,20,31,52,55,62,68,97,106,126,134,95,109,3347240.046,3321615.122,3362618.921,2765101.028,351.8861206
114,2,114_2,304,108.67925,255.7,11,14.2,11.04,8.484,24.48,18.36,186.672,159.052,20,30,44,59,94,104,127,147,208,223,265,281,203,232,3324255.799,3300156.979,3338047.541,2728634.631,350.3989047
114,3,114_3,615,108.67925,559.1,29.07,22.725,26.316,22.351,45.24,34.65,427.4375,372.5675,81,107,142,168,257,296,359,386,450,476,543,574,442,503,3352424.923,3335443.637,3361476.785,2815380.91,352.2216126
114,4,114_4,1017,108.67925,893.2,49.288,39.474,44.72,44.776,74.6325,48.614,677.9175,596.5215,128,181,255,299,413,462,570,616,715,772,903,950,698,798,3558375.927,3542123.713,3567107.877,3060615.722,365.5478541
114,5,114_5,1151,108.67925,1090.7,54.54,42.321,57.25,59.254,99.792,61.6,835.063,736.063,148,199,272,324,452,505,625,688,826,891,1019,1073,807,921,3670560.787,3649847.546,3683460.238,3151271.431,372.8068744
115,1,115_1,290,135.13514,129.9,6.8,5,6.1,9.09,3.03,10.5105,93.176,75.7685,9,31,49,53,62,77,112,119,141,143,188,220,175,202,3066229.546,3051903.416,3080320.79,2388809.803,357.9724038
115,2,115_2,462,135.13514,187.3,7.8,8.735,8.888,11.22,5.61,8.652,143.0175,113.4345,25,57,94,108,135,150,208,217,254,263,306,347,292,335,2960385.512,2951529.078,2969641.501,2436216.222,350.6255826
115,3,115_3,856,135.13514,549.8,23.8,19.089,30.498,25.064,15.015,42.6885,450.0095,338.329,59,88,139,165,234,271,403,445,533,558,687,713,678,762,3191884.23,3182838.014,3201161.333,2391337.366,366.6943171
115,4,115_4,1080,135.13514,981.1,35.48,29.836,45.343,50.61,25.546,104.082,808.73,637.282,72,108,172,205,295,337,502,572,652,685,862,908,847,955,3409800.046,3400144.325,3418484.284,2444471.825,381.8202385
115,5,115_5,1292,135.13514,1168.8,43.915,47.43,51.525,68.9,32.432,97.185,974.123,760.943,100,144,240,290,382,437,639,691,788,836,1055,1101,1035,1163,3456780.334,3445678.11,3466266.34,2607777.513,385.0812232
116,1,116_1,263,130.52632,147.1,4,6.4,8.3,3.03,6.464,13.14,116.592,85.212,11,14,19,37,63,73,102,104,134,152,198,211,196,221,2989932.027,2978929.481,3001595.391,2144052.427,352.6764584
116,2,116_2,439,130.52632,288,12,7,13.534,7.14,10.2,39.861,222.072,182.243,43,54,69,93,138,163,205,229,266,275,328,360,324,366,3206383.317,3198171.234,3213879.118,2169713.524,367.7007243
116,3,116_3,703,130.52632,591.8,31.745,16.564,32.028,21.424,30.14,42.84,472.7615,361.3085,81,107,146,165,228,255,320,343,399,427,553,577,547,616,3227981.65,3220893.514,3239096.346,2483330.861,369.1999027
116,4,116_4,985,130.52632,848.9,51.611,31.926,37.492,33.176,35.77,64.314,683.911,530,113,162,216,249,330,360,448,483,574,607,809,850,798,895,3382945.261,3373264.058,3388266.803,2600953.833,379.9562005
116,5,116_5,1247,130.52632,1120.6,62.281,50.25,49.296,47.996,44.82,79.53,918.42,703.15,154,209,279,327,421,464,576,636,756,813,1024,1070,1010,1133,3442647.539,3436489.203,3446466.587,2661891.087,384.100241
116,6,116_6,1216,130.52632,848.4,32.118,51,34.711,29.295,59.67,63.897,673.6825,520.3675,123,170,219,253,345,384,502,574,682,723,991,1045,979,1097,3501097.133,3485941.188,3511661.649,2719378.394,388.1573304
117,1,117_1,199,91.25,105.3,5,5,5,6.5,14.882,8.181,66.454,52.112,9,13,19,23,28,32,49,68,95,110,147,164,88,106,3575972.3,3536481.001,3591516.372,2913744.871,353.3523904
117,2,117_2,310,91.25,201.7,9,17,11.8,7.676,19.089,16.932,133.274,109.999,17,25,41,57,81,99,131,152,177,194,239,260,172,202,3577741.82,3556942.413,3595732.423,2898746.742,353.4627252
117,3,117_3,509,91.25,401.7,25.2,24.372,24.846,19.278,38.934,23.608,271.7035,213.5815,33,57,94,119,154,183,213,239,304,335,408,436,296,344,3611538.652,3593842.23,3623071.532,3017592.993,355.5700571
117,4,117_4,739,91.25,617.9,43.4,42.723,35.7,36.256,60.798,39.114,409.7715,327.8245,53,97,156,200,247,290,335,380,462,509,607,651,451,524,3865795.003,3849173.265,3875780.945,3247197.176,371.4236884
117,5,117_5,921,91.25,794.3,42.485,48.858,53.56,55.938,77.592,62.609,529.6535,424.6815,83,133,208,263,329,389,450,509,585,633,752,813,572,663,4032672.816,4015494.121,4044475.712,3301700.492,381.8290109
118,1,118_1,219,116.8,87.8,3,3,5.4,4,5.016,8.6355,65.736,33.59,12,14,18,20,24,41,60,63,85,107,113,124,111,130,3194065.936,3184065.326,3202849.257,2064185.884,348.1925793
118,2,118_2,343,116.8,129.9,6,6,5.1,6.206,5.959,11.106,99.88,55.272,25,30,37,42,49,72,90,106,149,171,195,213,192,224,3169302.793,3167579.932,3172468.057,2127903.519,346.5611252
118,3,118_3,730,116.8,426.2,22.2,18.786,17.19,30.34,32.24,25.2105,314.2765,206.001,36,59,110,133,177,202,277,310,415,444,484,517,476,547,3413603.6,3400080.005,3425256.96,2641624.902,362.6562372
118,4,118_4,931,116.8,681.3,30.7,32.623,24.174,41.712,51.555,59.625,508.9105,307.984,44,80,156,199,259,297,368,410,528,567,626,669,614,705,3602289.386,3587189.385,3614312.653,2558929.316,375.0873007
118,5,118_5,1076,116.8,914.4,45.371,44.79,34.998,44.72,63.623,86.991,698.734,396.799,61,108,192,235,297,348,422,463,590,640,712,759,699,805,3695923.081,3684682.462,3704243.211,2519268.255,381.2561088
119,1,119_1,131,99.64912,91.6,4,4,4,4,4,12.45,65.002,36.8,5,8,13,16,21,24,29,32,37,40,79,89,77,89,3282844.168,3282844.168,3282844.168,2021764.563,341.3971589
119,2,119_2,233,99.64912,187,8,6,7,9.2,6,31.31,133.429,70.697,9,16,23,28,36,42,63,82,89,94,139,158,135,157,3406446.261,3399784.271,3411308.082,1884322.902,349.2495272
119,3,119_3,694,99.64912,555.7,29.226,22.725,30.702,19.788,36.874,57.144,405.33,272.759,71,108,146,172,209,242,274,296,345,381,476,517,467,531,3482587.316,3472175.146,3492683.508,2467290.155,354.0867236
119,4,119_4,957,99.64912,772.1,42.154,36.975,43.414,35.256,46.41,70.5735,573.984,386.922,70,119,183,231,294,349,415,465,535,583,697,745,685,777,3647065.357,3642080.436,3652349.57,2659272.807,364.5359168
119,5,119_5,1044,99.64912,971.9,52.006,50.796,57.474,47.84,64.752,85.416,718.426,477.598,91,146,213,269,335,391,448,493,566,624,757,802,743,846,3785268.797,3778219.963,3790263.36,2792602.449,373.3159001
120,1,120_1,230,114.34555,116.8,4.7,4,4.7,10.2495,5.353,6.666,88.3345,75.3675,19,29,43,46,59,69,93,106,148,164,171,182,91,112,3089046.465,3068211.065,3099193.634,2585439.199,341.2736495
120,2,120_2,384,114.34555,214.9,9.6,7,7.07,13.332,11.526,10.918,170.6135,149.4985,58,71,90,96,110,116,178,193,270,288,307,322,175,212,3051299.274,3040212.953,3060522.642,2592867.545,338.7867757
120,3,120_3,626,113.08901,539.6,24.442,23.573,29.784,36.3075,23.544,24.15,418.0675,370.0295,104,129,170,204,238,265,332,359,468,504,540,562,325,386,3231294.184,3221004.793,3236858.567,2813691.776,350.6452639
120,4,120_4,977,113.08901,839.8,34.884,34.794,39.002,60.6375,34.625,44.712,668.657,583.755,189,225,286,327,375,414,502,544,694,737,815,859,491,587,3345514.333,3331460.89,3351199.278,2840549.03,358.1703561
120,5,120_5,1173,113.08901,1082.7,45.186,49.108,56.578,75.525,52.588,55.798,858.187,762.467,237,283,356,408,466,517,628,679,859,910,991,1048,615,732,3481630.95,3470192.533,3488781.948,3000253.56,367.1380391
120,6,120_6,1212,113.08901,1046.1,32.232,35.233,52.455,61.908,57.619,73.7,845.61,719.11,222,282,368,420,487,540,665,717,898,958,1047,1102,651,770,3415845.153,3406008.618,3427123.997,2763540.989,362.803916
121,1,121_1,188,110.11765,106.3,4,4,4,4.7,12.5745,5.757,80.067,72.896,37,40,46,49,56,59,81,91,115,125,159,170,113,130,3209177.795,3175471.619,3221662.755,2792572.026,346.0704325
121,2,121_2,342,110.11765,249,12,12,12.423,11.716,20.196,18.21,178.045,153.315,40,51,67,78,102,116,146,162,206,229,298,317,200,233,3330598.326,3316348.988,3336161.357,2741002.553,353.9984789
121,3,121_3,571,110.11765,520.5,25,23.432,22.929,24.888,31.518,31.172,397.515,331.355,50,73,112,136,181,213,263,286,350,382,482,511,340,395,3231850.76,3225290.061,3235479.123,2662638.996,347.5508437
121,4,121_4,856,110.11765,725.8,34.09,34.218,30.561,39.281,55.44,39.697,550.735,471.428,77,109,168,208,280,321,397,436,538,581,738,780,523,607,3426225.095,3412107.804,3434122.964,2900712.167,360.2423444
121,5,121_5,1035,110.11765,928.1,47.128,47.328,41.044,55.44,74.328,51.463,708.92,613.545,89,140,220,269,354,405,513,567,678,726,888,933,667,769,3621309.976,3606698.763,3630405.214,3092566.579,372.9802396
122,1,122_1,201,109.71429,139.3,5,5.2,5.2,14.514,10.302,10.706,96.992,88.902,9,13,32,38,51,57,99,113,148,158,177,192,95,114,3359570.664,3330755.359,3375130.628,2821662.439,359.0964202
122,2,122_2,507,109.71429,399.5,16,14.11,24.139,31.365,29.292,18.304,298.054,267.824,33,48,98,120,149,174,262,286,379,404,450,477,251,300,3327423.759,3312723.546,3343100.846,2932833.872,356.9785065
122,3,122_3,637,109.71429,652.5,33,21.21,44.88,40.9425,32.448,28.35,504.8115,455.5565,63,94,168,197,246,275,359,389,473,499,554,584,347,409,3277729.528,3266712.973,3290266.694,2890263.758,353.7045336
122,4,122_4,965,109.71429,983,49.904,41.507,62.816,63.2025,52.644,41.796,771.8915,704.5425,93,144,274,326,404,447,563,603,731,769,839,884,547,642,3475188.838,3467939.322,3483695.333,3090888.197,366.7136175
122,5,122_5,1154,109.71429,1191,57.671,57.68,73.481,84.723,64.472,53.13,926.468,838.578,103,158,303,366,457,510,655,709,864,921,1013,1064,629,744,3609920.309,3600057.866,3616596.078,3194272.589,375.5900439
123,1,123_1,225,135,117.3,3,4.2,7.3,6.666,4.848,9.999,89.619,73.029,3,5,15,29,61,69,106,117,132,152,189,200,187,208,3080962.644,3069070.397,3092749.019,2373924.992,362.0373851
123,2,123_2,367,135,206,6,4.4,11.645,9.292,8.364,21.816,161.691,127.892,32,37,51,67,96,109,155,174,232,250,291,306,288,321,3166837.656,3155417.253,3178254.825,2276486.447,368.0486359
123,3,123_3,567,135,535.4,21.3,18.786,25.602,29.87,20.894,29.796,438.846,336.111,50,80,154,176,230,249,315,335,400,418,470,489,462,517,3128311.124,3120384.453,3133985.875,2478948.258,365.3517787
123,4,123_4,873,135,804.6,32.4,27.05,35.691,42.848,34.378,47.7975,663.89,510.592,48,88,193,222,297,330,446,487,592,625,698,731,686,772,3225025.591,3218481.814,3231033.511,2536251.428,372.1217914
123,5,123_5,1074,135,1089,41.803,34.272,51.684,63.14,42.907,76.7955,901.093,684.608,59,103,238,274,366,409,564,613,739,774,877,922,861,968,3358939.851,3348911.61,3366775.672,2573105.047,381.4957896
124,1,124_1,139,97.5,100,4,4.7,10.5,4.2,8.05,5.353,70.99,65.233,5,8,15,25,55,60,73,78,98,104,119,126,53,65,3363722.136,3337410.989,3379795.639,2966113.678,352.9526088
124,2,124_2,339,97.5,239.9,8.8,11.1,23.937,12.827,19.686,13.016,166.7595,146.9735,19,34,55,66,112,133,178,196,237,254,290,308,108,139,3446508.912,3422844.779,3464754.715,2995079.757,358.3094002
124,3,124_3,439,97.5,363.3,13.1,13.837,32.481,13.362,23.896,15.348,281.246,255.86,39,61,106,125,180,202,254,276,321,341,379,401,174,216,3267214.867,3243901.302,3279984.666,2897987.824,346.7080208
124,4,124_4,739,97.5,622.6,24.2,28.209,50.9685,37.648,35.49,36.888,464.889,398.942,52,86,170,202,299,336,420,458,538,574,636,671,284,356,3539189.692,3523279.985,3551937.226,2990904.929,364.3063918
124,5,124_5,939,97.5,904.8,40.356,39.474,71.6535,56.91,43.235,55.188,685.228,580.122,71,121,217,258,355,406,516,568,666,712,802,852,341,432,3596234.233,3580413.612,3605540.091,3009251.721,367.9975092
124,6,124_6,1039,97.5,758.4,27.766,21.318,80.7555,42.735,35.31,55.272,582.762,511.575,61,112,205,249,374,424,531,573,739,795,895,949,344,446,3681161.388,3648821.147,3700889.002,3054162.474,373.4927957
125,1,125_1,196,115.76471,123.3,5.4,4,9.3,8.686,12.5745,7.979,84.211,76.232,9,26,49,52,70,80,106,119,130,140,164,179,128,145,3441517.049,3419057.047,3462916.3,2968447.122,364.4952409
125,2,125_2,416,115.76471,315.4,11,11.7,18.281,23.46,31.365,21.012,222.843,188.693,25,35,68,85,134,151,204,229,289,312,358,379,284,323,3467957.956,3443465.521,3486666.066,2899758.619,366.2372301
125,3,125_3,615,115.76471,518.6,14.8,17.372,24.48,29.046,46.02,36.75,398.678,360.713,53,83,148,175,252,275,334,357,456,482,540,565,449,509,3373117.076,3349860.47,3389097.001,2823022.602,359.9888897
125,4,125_4,884,115.76471,862.2,31.08,31.855,39.449,51.87,78.546,56.106,660.521,592.255,78,108,193,235,339,379,471,518,646,687,778,821,632,719,3539251.66,3515584.464,3553089.923,2997261.645,370.934227
125,5,125_5,1119,115.76471,1063,41.35,43.076,46.518,61.798,93.636,63.83,830.692,753.012,95,135,253,305,444,503,629,681,819,872,983,1033,805,916,3591691.346,3569718.426,3603297.929,3082443.74,374.3890769
126,1,126_1,105,100.64516,76.9,3,3,10.5,8,5,3,50.914,46,9,11,30,32,41,46,56,61,71,74,89,91,39,48,3587245.026,3549689.653,3614093.294,3264945.055,360.7355664
126,2,126_2,254,100.64516,213.9,9.4,11.1,17.6805,23.23,15.453,11.628,139.523,120.959,26,38,60,71,98,113,138,152,175,188,210,224,94,118,3621674.735,3598877.211,3640880.835,3162747.781,362.9228655
126,3,126_3,465,100.64516,508.7,25.1,28.482,53.856,32.64,31.312,28.54,353.113,303.183,47,69,112,137,212,240,276,295,322,347,381,413,204,249,3665516.919,3643321.308,3678038.294,3164078.994,365.7081337
126,4,126_4,616,100.64516,679.5,38.15,34.542,51.8565,47.802,37.024,38.01,485.769,411.657,72,105,162,193,289,321,370,401,440,473,515,552,277,337,3618839.71,3608451.193,3626594.789,3085901.904,362.742758
126,5,126_5,800,100.64516,892.3,42.361,48.235,71.736,62.078,53.85,46.07,651.375,555.493,87,124,199,245,365,405,481,521,580,624,674,719,349,428,3720643.451,3708208.886,3731325.999,3205811.044,369.2102898
126,6,126_6,992,100.64516,909.6,47.672,43.944,49.1535,69.854,52.751,58.428,670.76,552.851,126,170,269,324,471,532,607,664,733,786,840,897,449,549,3671296.193,3659554.647,3678204.901,3037783.752,366.0752876
127,1,127_1,356,119.60465,166.6,5,9.696,9.696,5.555,11.628,16.32,124.348,107.944,39,52,101,114,126,139,155,164,235,247,282,289,232,266,3332893.371,3320346.017,3346747.714,2608892.229,363.7199084
127,2,127_2,465,119.60465,367.1,12.3,16.362,16.362,14.688,26.7285,22.83,288.0015,250.1255,34,57,137,153,173,189,217,252,323,342,398,411,318,363,3175584.797,3161092.18,3184596.728,2639237.679,353.1709805
127,3,127_3,707,119.60465,677.9,26.6,25.888,25.908,31.518,46.305,43.566,537.53,452.474,45,80,200,227,258,285,334,374,510,538,625,652,500,568,3244074.993,3230828.781,3250058.673,2645504.29,357.7638525
127,4,127_4,1122,119.60465,1153.6,48.38,42.234,42.761,45.57,86.532,74.618,931.1825,792.4425,74,118,267,318,382,433,522,564,756,814,971,1022,736,847,3385215.04,3368077.126,3392540.365,2770526.596,367.228538
127,5,127_5,1224,119.60465,1371.1,53.451,48.307,64.046,54.02,99.306,77.77,1131.0055,945.5455,93,149,311,367,456,517,599,639,818,865,1039,1089,799,920,3454808.691,3438497.678,3463253.505,2851554.362,371.8954064
127,6,127_6,1631,119.60465,1737.5,66.803,69.472,70.808,89.64,136.29,101.2,1414.049,1193.279,95,172,425,496,603,674,806,868,1083,1153,1399,1456,1060,1221,3567083.46,3548702.753,3576016.474,2965672.999,379.4244202
128,1,128_1,300,128.43243,163.1,4,4,9.646,7.07,4.886,13.158,132.531,104.328,9,12,53,56,97,110,161,165,200,211,226,239,222,249,2940022.885,2925998.597,2948530.669,2199525.999,343.2933262
128,2,128_2,378,128.43243,393.3,12.8,12.12,16.16,16.32,16.32,21.63,328.177,258.652,34,53,106,117,167,181,227,241,278,287,312,325,304,340,2926430.849,2923464.467,2931091.558,2314479.487,342.3658697
128,3,128_3,829,128.43243,786.3,24.612,26.827,33.269,24.024,36.04,42.2115,675.1825,545.889,74,103,190,219,317,347,448,489,609,633,701,729,686,767,3004833.938,2998584.167,3009463.587,2406579.537,347.7157275
128,4,128_4,1260,128.43243,1239.4,40.905,56.341,51.87,48.364,51.23,68.97,1064.14,877.25,125,178,325,381,537,585,740,786,933,967,1067,1115,1042,1167,3243126.119,3239540.021,3247724.522,2630657.303,363.9756646
128,5,128_5,1316,128.43243,1435.4,50.399,59.119,59.366,55.568,64.82,81.015,1231.81,1000.37,128,185,355,423,595,647,794,849,995,1036,1125,1174,1098,1228,3308766.732,3305529.116,3312313.413,2661925.005,368.4546711
128,6,128_6,1894,128.43243,2113.1,76.679,53.574,100.88,74.47,85.25,181.5,1832.399,1469.839,171,242,472,545,756,821,1055,1131,1342,1407,1552,1633,1507,1697,3450849.049,3443403.889,3458580.431,2584156.128,378.1496998
129,1,129_1,263,125.51724,152.6,4,5.4,9.33,8.686,12.5745,8.466,117.0585,96.7605,23,26,49,66,93,103,129,142,178,188,224,234,176,201,3161455.859,3143305.849,3178774.473,2635288.297,355.3131905
129,2,129_2,395,125.51724,250.2,8,7.6,11.716,11.716,21.42,12.154,203.446,167.499,39,46,77,98,129,144,178,194,278,290,338,356,275,313,3148145.454,3126987.635,3161049.444,2632664.688,354.4127807
129,3,129_3,726,125.51724,643.2,28.3,33.532,25.398,25.956,34.1715,25.864,521.7195,429.6095,47,76,139,167,255,285,345,371,497,524,628,655,491,560,3119184.627,3113809.679,3123842.147,2638046.497,352.4536659
129,4,129_4,1059,125.51724,997.6,45.391,51.612,42.034,37.099,64.0905,46.529,805.801,655.232,64,110,218,268,356,401,493,531,691,739,886,935,678,782,3310849.305,3300435.107,3318561.62,2762835.72,365.4192177
129,5,129_5,1377,125.51724,1229.2,53.915,54.384,59.536,51.256,96.138,63.03,993.393,837.523,91,155,302,368,474,536,687,743,935,1000,1188,1247,918,1052,3543944.14,3527502.886,3551277.881,2990678.049,381.1873977
130,1,130_1,137,92.30769,70.6,3.8,3,3.5,6,8.3,4.444,49.219,43.563,11,21,25,27,31,38,71,74,81,89,109,125,69,81,3576732.779,3547690.386,3594998.27,3092280.757,353.3998086
130,2,130_2,227,92.30769,176.3,6.4,5.1,9.4,11.3625,10.403,20.34,123.9435,95.1395,17,35,43,66,82,94,135,146,165,176,198,207,132,153,3368867.807,3357968.406,3381970.026,2428059.969,340.4388162
130,3,130_3,441,92.30769,432.6,23.4,22.4,15.554,36.873,25.212,27.295,313.448,249.841,17,40,74,98,123,157,234,256,297,320,368,394,228,271,3444179.246,3427349.485,3457512.918,2820143.185,345.1347059
130,4,130_4,640,92.30769,628.6,31.4,38.178,31.387,51.603,38.584,34.125,453.498,370.569,28,59,103,141,187,223,345,379,435,473,545,577,333,397,3594331.066,3581321.672,3602772.395,3033148.078,354.4971135
130,5,130_5,814,92.30769,838.1,42.9,49.389,55.692,66.144,48.405,52.843,595.433,487.549,36,79,137,185,240,293,437,480,552,599,689,733,425,506,3752556.567,3741844.862,3760481.861,3130944.035,364.3629389
131,1,131_1,409,158.4,194.7,5,6.06,5.05,7.23,15.759,7.21,170.981,122.862,93,97,109,114,154,158,198,223,272,283,308,327,270,308,2901951.369,2879368.542,2912375.834,2298512.454,364.1917469
131,2,131_2,707,158.4,415.6,15.251,17.34,7.678,19.673,28.08,7.875,364.2455,274.2675,101,116,201,217,281,310,369,386,465,489,547,576,461,530,2924736.572,2909332.535,2939485.303,2463493.612,365.8537264
131,3,131_3,963,158.4,667,24.341,14.484,10.857,50.505,73.14,24.717,565.444,445.156,165,192,269,293,383,406,510,546,639,672,759,791,631,726,3363227.549,3324918.197,3389509.949,2837684.73,397.8377742
131,4,131_4,1520,158.4,1136.1,47.43,34.064,26.606,66.988,120.45,29.59,971.967,795.747,238,292,455,511,644,682,795,845,1010,1076,1257,1300,994,1145,3457914.364,3423036.682,3479576.235,3022230.491,404.7443418
131,5,131_5,1742,158.4,1488.8,50.47,42.105,39.697,82.84,130.35,39.38,1311.782,1090.352,281,345,524,582,744,794,932,983,1176,1242,1416,1467,1160,1333,3380994.459,3353247.479,3396724.265,2946167.143,399.1337135
132,1,132_1,190,95.72414,87.6,6,5,5.5,9.9,6.363,4.04,58.894,45.461,5,19,35,39,46,55,82,93,105,113,126,129,80,98,3622966.924,3601802.55,3634818.577,3116547.505,359.6438005
132,2,132_2,368,95.72414,211.8,13,11.8,10.866,24.543,15.3,10.2,141.3,117.034,21,33,51,69,95,112,150,175,224,246,276,294,145,180,3608721.501,3582870.165,3622749.249,3139841.381,358.7471769
