楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
105,5,105_5,871,105.45455,923.5,45.3,81.2,44.702,50.209,65.296,47.187,625.023,510.696,64,96,173,225,316,356,466,509,609,656,734,776,453,538,43.3,77,41.4,46.2,58.6,44.1,612.9
105,6,105_6,1054,105.45455,617.4,14.4,19.278,29.355,64.155,37.78,31.644,450.112,364.194,60,95,167,212,304,367,518,563,673,718,841,893,496,599,12.4,17,28.5,61.1,35.5,29.3,433.6
106,1,106_1,151,109.09091,89.2,4.4,3,3,3.7,6.6,5.858,62.864,47.31,5,21,27,29,35,37,42,51,72,83,101,113,65,79,4.4,3,3,3.7,6.6,5.8,62.7
106,2,106_2,339,109.09091,185.5,8.5,9.3,7,6.565,12.322,13.464,130.227,106.878,29,41,61,71,93,98,110,120,168,181,222,236,158,190,8.5,9.3,7,6.5,12.2,13.2,128.8
106,3,106_3,583,109.09091,427.3,10.2,20.301,20.402,21.828,26.986,31.472,305.947,237.922,39,68,103,123,163,184,219,240,311,341,399,425,290,347,10.2,20.1,20.2,21.4,26.2,30.3,298.9
106,4,106_4,808,109.09091,678,19.7,25.452,33.864,28.325,45.552,47.565,501.305,372.556,31,83,144,170,219,253,302,330,427,465,559,595,400,479,19.7,25.2,33.2,27.5,43.8,45.3,483.3
106,5,106_5,988,109.09091,916.4,30.3,41.612,49.194,40.118,54.18,59.278,681.83,500.974,49,81,142,184,254,303,374,416,553,597,716,763,524,621,30.3,41.2,48.2,38.8,51.6,55.4,650.9
107,1,107_1,163,129.92648,98.8,3,3,3,7.3,6.666,3.03,73.259,58.109,5,7,49,51,57,59,81,89,117,128,149,151,115,130,3,3,3,7.3,6.6,3,72.9
107,2,107_2,497,129.92648,349.8,11.3,10.201,11.526,20.502,19.879,17.68,267.336,205.04,17,57,137,156,208,221,264,282,362,383,424,440,356,404,11.3,10.1,11.3,20.1,19.3,17,260.7
107,3,107_3,752,129.92648,713.8,16.3,27.562,31.783,28.664,34.23,27.772,573.248,477.888,41,86,194,219,273,307,399,427,557,589,658,681,549,622,16.3,27.1,31.1,27.6,32.6,26.2,552.9
107,4,107_4,1025,129.92648,1082.7,38.21,40.902,42.559,46.515,49.862,43.029,873.19,736.232,65,101,244,283,365,402,512,552,732,776,876,917,718,818,38.2,40.1,41.3,44.3,46.6,39.7,832.5
107,5,107_5,1226,129.92648,1308.2,48.642,49.475,60.632,55.438,57.881,55.66,1054.864,879.084,77,125,284,331,428,482,603,649,861,911,1030,1079,845,966,48.4,48.2,58.3,52.3,53.5,50.6,996.9
108,1,108_1,194,134.4,100.6,4,4.7,4.7,4.7,5.05,4.04,73.92,53.72,5,8,16,26,47,57,64,74,103,107,125,128,101,119,4,4.7,4.7,4.7,5,4,73.5
108,2,108_2,407,134.4,250.5,14,8.464,10.908,10.857,14.28,13.39,182.748,138.079,53,64,99,110,138,155,189,204,248,261,322,333,244,281,14,8.4,10.8,10.7,14,13,179.6
108,3,108_3,589,134.4,425.4,14.2,19.645,16.867,18.972,21.63,16.848,326.999,263.217,22,44,96,119,171,193,249,272,340,369,459,483,332,388,14.2,18.5,16.7,18.6,21,16.2,320.2
108,4,108_4,914,134.4,660.3,23.6,26.866,31.394,26.803,25.725,29.46,522.56,392.72,29,74,166,197,272,308,385,418,512,549,684,733,502,592,23.6,25.6,30.7,25.9,24.5,27.6,502.4
108,5,108_5,1075,134.4,1000.1,45.06,37.332,38.12,38.85,35.934,46.44,809.51,568.65,66,106,220,261,356,401,510,555,642,683,839,878,629,735,44,35.6,37,36,33.9,42,771.6
109,1,109_1,146,113.14286,98.9,4,4,5,4,5.406,7.07,69.669,64.114,9,11,17,19,24,27,51,54,89,106,129,134,49,62,4,4,5,4,5.4,7,69.5
109,2,109_2,292,113.14286,217.6,8,10,15,12.12,10.914,9.18,154.263,133.965,22,28,47,55,68,80,131,142,209,225,259,264,127,154,8,10,15,12,10.7,9,152.9
109,3,109_3,572,113.14286,538.5,24.1,21.513,31.511,19.278,21.32,30.355,403.241,350.301,41,65,116,139,173,210,269,295,417,441,485,510,260,316,24.1,21.3,31.1,18.9,20.5,29.1,393.5
109,4,109_4,898,113.14286,789.1,35.964,37.528,41.147,33.176,33.072,43.32,597.084,514.552,78,120,190,234,293,338,436,475,643,693,772,811,422,511,35.8,36.9,40,31.9,31.2,40.4,572.9
109,5,109_5,1019,113.14286,946.1,40.338,46.206,38.316,48.89,51.808,44.062,721.583,628.505,93,141,221,268,332,377,497,548,751,802,887,925,479,580,40,45.3,37.2,46.6,48.4,40.6,688
110,1,110_1,206,121.55844,114.9,5,4,5.4,5.7,5.442,7.676,82.274,61.848,19,22,29,32,53,70,77,88,98,115,163,175,161,179,5,4,5.4,5.7,5.4,7.6,81.8
110,2,110_2,427,121.55844,319.2,14.2,10.7,11.918,14.14,21.828,15.862,236.115,164.391,25,39,71,87,123,141,166,179,216,233,317,353,313,354,14.2,10.7,11.8,14,21.4,15.4,231.7
110,3,110_3,777,121.55844,717.9,39,22.927,43.452,42.024,37.856,40.148,516.489,368.899,47,77,144,168,231,264,311,346,430,454,586,624,571,646,39,22.7,42.6,40.8,36.4,38,498.4
110,4,110_4,1000,121.55844,985.7,45.2,46.384,36.565,48.415,53.97,46.117,751.534,543.253,53,91,174,217,301,332,387,427,520,557,755,799,740,839,45.2,45.8,35.5,46.7,51.4,43.1,718
110,5,110_5,1257,121.55844,1340.3,67.17,56.712,55.402,63.84,58.322,65.852,1048.162,758.732,61,112,234,289,399,449,526,581,693,741,981,1040,964,1088,67,55.6,53.3,60.8,54.6,60,989
111,1,111_1,125,108.88889,70.3,3.7,3,3,5,3.7,4.323,47.656,43,10,19,23,25,29,31,54,58,80,89,99,105,49,60,3.7,3,2,5,3.7,4.3,48.6
111,2,111_2,244,108.88889,161.8,5.3,9.1,6.5,11.312,10.201,6.222,114.381,105.609,8,15,23,32,57,76,122,134,177,187,214,220,117,140,5.3,9.1,6.5,10.2,9.1,6.1,115.5
111,3,111_3,459,108.88889,389,16.9,22.1,23.432,17.544,23.836,17.098,274.564,246.703,23,46,78,99,135,157,227,245,295,318,367,388,220,264,15.9,21.1,19.2,17.2,22.2,16.6,276.8
111,4,111_4,686,108.88889,627.8,31.1,39.442,36.58,28.634,33.28,31.92,443.939,390.957,18,48,88,126,187,220,329,363,446,475,557,590,317,384,30.1,38.2,32,27.8,32,29.4,438.3
111,5,111_5,806,108.88889,775.5,32.1,42.824,39.882,30.368,41.16,37.22,578.862,499.638,26,57,115,158,227,265,413,452,550,588,678,712,396,476,31.1,41.4,36.1,29.2,38.2,34,565.5
112,1,112_1,212,111.9171,136.2,5.7,5.7,6,9.6,9.09,10.201,90.713,66.214,21,32,43,54,61,66,85,99,136,140,146,167,83,103,5.7,5.7,6,9.6,9,10.1,90.1
112,2,112_2,390,111.9171,283.9,9.4,9.4,13.13,15.554,29.58,20.188,191.149,143.254,36,48,68,80,104,124,168,194,268,282,309,326,164,201,9.4,9.4,13,15.4,29,19.6,188.1
112,3,112_3,636,111.9171,614.8,17.896,17.877,25.602,30.581,48.88,33.37,457.469,347.931,91,115,145,168,209,232,300,327,413,441,487,527,294,357,17.8,17.7,25.1,29.7,47,32,445.5
112,4,112_4,985,111.9171,953.8,34.441,34.68,38.11,51.206,61.48,54.105,723.042,543.325,142,183,227,267,341,375,477,526,655,694,762,807,465,562,34.1,34,37,49,58,50.5,691.2
112,5,112_5,1235,111.9171,1265.3,54.531,52.915,52,71.232,65.88,64.023,974.743,743.053,180,229,288,339,433,480,607,663,813,857,948,1004,595,717,53.7,51.5,50,67.2,61,58.7,923.2
113,1,113_1,235,118.15385,130.1,5,5,6.4,5.7,7.777,10.1,90.9,68.885,5,9,21,25,37,55,78,89,115,128,171,179,112,133,5,5,6.4,5.7,7.7,10,90.3
113,2,113_2,293,118.15385,215.2,9,7,9,10.1,14.14,15.3,152.755,116.545,9,17,41,47,87,95,119,137,179,192,241,254,174,202,9,7,9,10,14,15,151.2
113,3,113_3,776,118.15385,568.6,34.6,20.846,36.256,17.68,25.935,32.118,419.733,344.691,57,92,193,233,332,364,426,460,546,574,662,689,537,613,34.6,20.5,35.2,17,24.7,30.3,406.3
113,4,113_4,1156,118.15385,883.3,46.097,28.786,57.578,33.752,46.44,50.036,667.925,552.285,97,144,293,337,483,543,661,708,810,859,979,1025,793,906,45.7,28,55,31.8,43,45.7,634.1
113,5,113_5,1396,118.15385,1132.7,52.318,42.539,65.802,48.882,55.969,64.57,871.379,724.089,114,170,348,399,565,630,768,826,938,1007,1153,1221,916,1054,51.8,41.3,60.4,45.5,51.3,58.7,823.7
114,1,114_1,152,108.67925,109.4,4,7.5,4,5.2,7.333,8.282,73.438,63.338,12,15,20,31,52,55,62,68,97,106,126,134,95,109,4,7.5,4,5.2,7.3,8.2,73.2
114,2,114_2,304,108.67925,255.7,11,14.2,11.04,8.484,16.32,18.36,179.022,151.402,20,30,44,59,94,104,127,147,208,223,265,281,203,232,11,14.2,11,8.4,16,18,177.1
114,3,114_3,615,108.67925,559.1,29.07,22.725,26.316,22.351,30.16,34.65,409.123,354.253,81,107,142,168,257,296,359,386,450,476,543,574,442,503,29,22.5,25.8,21.7,29,32,399.1
114,4,114_4,1017,108.67925,893.2,49.288,39.474,44.72,44.776,49.755,48.614,658.201,576.805,128,181,255,299,413,462,570,616,715,772,903,950,698,798,47.8,38.7,43,41.5,46.5,43.6,632.1
114,5,114_5,1151,108.67925,1090.7,54.54,42.321,57.25,59.254,66.528,61.6,807.958,708.958,148,199,272,324,452,505,625,688,826,891,1019,1073,807,921,53,41.3,54,53.9,60.6,55,772.9
115,1,115_1,290,135.13514,129.9,6.8,5,6.1,9.09,3.03,8.843,92.065,74.102,9,31,49,53,62,77,112,119,141,143,188,220,175,202,6.8,5,6.1,9,3,8.7,91.3
115,2,115_2,462,135.13514,187.3,7.8,8.735,8.888,11.22,5.61,6.18,141.842,112.259,25,57,94,108,135,150,208,217,254,263,306,347,292,335,7.8,8.7,8.8,11,5.5,6,139.5
115,3,115_3,856,135.13514,549.8,23.8,19.089,30.498,25.064,15.015,28.459,428.643,333.718,59,88,139,165,234,271,403,445,533,558,687,713,678,762,22.8,18.9,27.9,24.1,14.3,26.7,415.1
115,4,115_4,1080,135.13514,981.1,35.48,29.836,45.343,50.61,25.546,69.388,773.225,626.104,72,108,172,205,295,337,502,572,652,685,862,908,847,955,34.4,28.5,42.1,48.2,24.1,64.1,739.7
115,5,115_5,1292,135.13514,1168.8,43.915,47.43,51.525,68.9,32.432,64.79,927.868,749.338,100,144,240,290,382,437,639,691,788,836,1055,1101,1035,1163,42.5,44.5,47.7,65,30.1,58.9,880.1
116,1,116_1,263,130.52632,147.1,4,6.4,8.3,3.03,6.464,8.76,111.354,83.192,11,14,19,37,63,73,102,104,134,152,198,211,196,221,4,6.4,8.3,3,6.4,8.6,110.4
116,2,116_2,439,130.52632,288,12,7,13.534,7.14,10.2,26.574,216.407,178.638,43,54,69,93,138,163,205,229,266,275,328,360,324,366,12,7,13.4,7,10,25.8,212.8
116,3,116_3,703,130.52632,591.8,31.745,16.564,32.028,21.424,30.14,28.56,448.582,357.056,81,107,146,165,228,255,320,343,399,427,553,577,547,616,31.7,16.4,31.4,20.8,29,27.2,435.3
116,4,116_4,985,130.52632,848.9,51.611,31.926,37.492,33.176,35.77,42.876,653.21,522.897,113,162,216,249,330,360,448,483,574,607,809,850,798,895,51.1,31.3,36.4,31.9,34,39.7,624.5
116,5,116_5,1247,130.52632,1120.6,62.281,50.25,49.296,47.996,44.82,53.02,874.97,693.69,154,209,279,327,421,464,576,636,756,813,1024,1070,1010,1133,61.6,49,47.4,45.5,41.8,48.2,827.1
116,6,116_6,1216,130.52632,848.4,32.118,51,34.711,29.295,59.67,42.598,641.198,511.048,123,170,219,253,345,384,502,574,682,723,991,1045,979,1097,31.8,50,33.7,27.9,56,38.8,610.2
117,1,117_1,199,91.25,105.3,5,5,5,6.5,10.965,8.181,65.154,50.812,9,13,19,23,28,32,49,68,95,110,147,164,88,106,4,4,4,5.5,9.8,7,71
117,2,117_2,310,91.25,201.7,9,17,11.8,7.676,12.726,16.932,128.416,105.141,17,25,41,57,81,99,131,152,177,194,239,260,172,202,8,16,10.8,6.6,11.6,15.6,133.1
117,3,117_3,509,91.25,401.7,25.2,24.372,24.846,19.278,25.956,23.608,266.102,207.98,33,57,94,119,154,183,213,239,304,335,408,436,296,344,24.2,24.2,23.6,18.9,25.2,21.7,263.9
117,4,117_4,739,91.25,617.9,43.4,42.723,35.7,36.256,40.532,39.114,399.319,317.372,53,97,156,200,247,290,335,380,462,509,607,651,451,524,42.4,40.3,34,35.2,38.9,34.9,392.2
117,5,117_5,921,91.25,794.3,42.485,48.858,53.56,55.938,51.728,62.609,512.486,407.514,83,133,208,263,329,389,450,509,585,633,752,813,572,663,40.2,45.9,50,51.7,46.9,57.4,502.2
118,1,118_1,219,116.8,87.8,3,3,5.4,4,5.016,5.757,62.1,31.57,12,14,18,20,24,41,60,63,85,107,113,124,111,130,3,3,5.4,4,5,5.7,61.7
118,2,118_2,343,116.8,129.9,6,6,5.1,6.206,5.959,7.404,94.545,52.747,25,30,37,42,49,72,90,106,149,171,195,213,192,224,6,6,5.1,6.2,5.9,7.3,93.4
118,3,118_3,730,116.8,426.2,22.2,18.786,17.19,30.34,32.24,16.807,300.457,201.789,36,59,110,133,177,202,277,310,415,444,484,517,476,547,22.2,18.6,17,29.7,31,15.1,292.6
118,4,118_4,931,116.8,681.3,30.7,32.623,24.174,41.712,51.555,39.75,488.176,301.571,44,80,156,199,259,297,368,410,528,567,626,669,614,705,30.7,32.3,23.7,39.4,49.1,36.5,469.6
118,5,118_5,1076,116.8,914.4,45.371,44.79,34.998,44.72,63.623,57.994,667.587,388.789,61,108,192,235,297,348,422,463,590,640,712,759,699,805,44.3,44,33,42,59.1,53.2,638.8
119,1,119_1,131,99.64912,91.6,4,4,4,4,4,8.3,63.502,34.8,5,8,13,16,21,24,29,32,37,40,79,89,77,89,4,4,4,4,4,8.3,63.3
119,2,119_2,233,99.64912,187,8,6,7,9.2,6,21.21,130.904,67.667,9,16,23,28,36,42,63,82,89,94,139,158,135,157,8,6,7,9.2,6,21,129.8
119,3,119_3,694,99.64912,555.7,29.226,22.725,30.702,19.788,36.874,38.096,395,264.959,71,108,146,172,209,242,274,296,345,381,476,517,467,531,29.2,22.5,30.1,19.4,35.8,36.4,382.3
119,4,119_4,957,99.64912,772.1,42.154,36.975,43.414,35.256,46.41,47.049,555.125,377.382,70,119,183,231,294,349,415,465,535,583,697,745,685,777,42,36.4,42.2,33.9,44.2,44,529.4
119,5,119_5,1044,99.64912,971.9,52.006,50.796,57.474,47.84,64.752,56.944,688.924,467.433,91,146,213,269,335,391,448,493,566,624,757,802,743,846,51.6,49.8,55.8,46,61.4,53.2,654.1
120,1,120_1,230,114.34555,116.8,4.7,4,4.7,6.833,5.353,6.666,85.168,72.201,19,29,43,46,59,69,93,106,148,164,171,182,91,112,4.7,4,4.7,6.8,5.3,6.6,84.7
120,2,120_2,384,114.34555,214.9,9.6,7,7.07,8.888,11.526,10.918,162.597,141.482,58,71,90,96,110,116,178,193,270,288,307,322,175,212,9.6,7,7,8.8,11.3,10.6,160.6
120,3,120_3,626,113.08901,539.6,24.442,23.573,29.784,24.205,23.544,24.15,403.184,355.146,104,129,170,204,238,265,332,359,468,504,540,562,325,386,24.2,23.3,29.2,23.5,22.6,23,393.8
120,4,120_4,977,113.08901,839.8,34.884,34.794,39.002,40.425,34.625,44.712,646.285,561.383,189,225,286,327,375,414,502,544,694,737,815,859,491,587,34.3,33.9,37.7,38.5,32.4,41.4,621.6
120,5,120_5,1173,113.08901,1082.7,45.186,49.108,56.578,50.35,52.588,55.798,828.602,732.882,237,283,356,408,466,517,628,679,859,910,991,1048,615,732,44.3,47.6,54.2,47.5,48.6,50.8,789.7
120,6,120_6,1212,113.08901,1046.1,32.232,35.233,52.455,41.272,57.619,73.7,813.479,686.979,222,282,368,420,487,540,665,717,898,958,1047,1102,651,770,31.6,34.1,50.1,38.8,52.9,67,771.6
121,1,121_1,188,110.11765,106.3,4,4,4,4.7,8.383,5.757,76.027,68.856,37,40,46,49,56,59,81,91,115,125,159,170,113,130,4,4,4,4.7,8.3,5.7,75.6
121,2,121_2,342,110.11765,249,12,12,12.423,11.716,13.464,18.21,172.445,147.715,40,51,67,78,102,116,146,162,206,229,298,317,200,233,12,12,12.3,11.6,13.2,17.7,170.2
121,3,121_3,571,110.11765,520.5,25,23.432,22.929,24.888,21.012,31.172,384.64,318.48,50,73,112,136,181,213,263,286,350,382,482,511,340,395,25,23.2,22.6,24.4,20.4,29.8,375.1
121,4,121_4,856,110.11765,725.8,34.09,34.218,30.561,39.281,36.96,39.697,538.52,459.213,77,109,168,208,280,321,397,436,538,581,738,780,523,607,34,33.8,29.8,37.8,35.2,37.1,518.1
121,5,121_5,1035,110.11765,928.1,47.128,47.328,41.044,55.44,49.552,51.463,680.951,585.576,89,140,220,269,354,405,513,567,678,726,888,933,667,769,46.8,46.4,39.8,52.8,46.5,47.3,648.5
122,1,122_1,201,109.71429,139.3,5,5.2,5.2,9.676,10.302,10.706,93.987,85.897,9,13,32,38,51,57,99,113,148,158,177,192,95,114,5,5.2,5.2,9.6,10.2,10.6,93.5
122,2,122_2,507,109.71429,399.5,16,14.11,24.139,20.91,29.292,18.304,285.1,254.87,33,48,98,120,149,174,262,286,379,404,450,477,251,300,16,14,23.9,20.5,28.4,17.6,279.1
122,3,122_3,637,109.71429,652.5,33,21.21,44.88,27.295,32.448,28.35,483.59,434.335,63,94,168,197,246,275,359,389,473,499,554,584,347,409,32,21,44,25.5,31.2,27,471.8
122,4,122_4,965,109.71429,983,49.904,41.507,62.816,42.135,52.644,41.796,736.371,669.022,93,144,274,326,404,447,563,603,731,769,839,884,547,642,47.5,39.5,60.4,39.1,48.2,38.7,709.6
122,5,122_5,1154,109.71429,1191,57.671,57.68,73.481,56.482,64.472,53.13,891.017,803.127,103,158,303,366,457,510,655,709,864,921,1013,1064,629,744,55.1,55,70.5,51.2,58.5,48.3,852.4
123,1,123_1,225,135,117.3,3,4.2,7.3,6.666,4.848,6.666,85.401,71.009,3,5,15,29,61,69,106,117,132,152,189,200,187,208,3,4.2,7.3,6.6,4.8,6.6,84.8
123,2,123_2,367,135,206,6,4.4,11.645,9.292,8.364,14.544,154.614,124.322,32,37,51,67,96,109,155,174,232,250,291,306,288,321,6,4.4,11.6,9.2,8.2,14.2,152.4
123,3,123_3,567,135,535.4,21.3,18.786,25.602,29.87,20.894,19.864,412.761,328.311,50,80,154,176,230,249,315,335,400,418,470,489,462,517,21.3,18.6,25.1,29,20.1,19.1,402.2
123,4,123_4,873,135,804.6,32.4,27.05,35.691,42.848,34.378,31.865,631.875,501.052,48,88,193,222,297,330,446,487,592,625,698,731,686,772,32.4,26.6,34.7,41.2,32.5,29.8,607.4
123,5,123_5,1074,135,1089,41.803,34.272,51.684,63.14,42.907,51.197,858.688,672.728,59,103,238,274,366,409,564,613,739,774,877,922,861,968,41.8,33.6,50.1,60,40.1,47.2,816.2
124,1,124_1,139,97.5,100,4,4.7,7,4.2,8.05,5.353,66.99,61.233,5,8,15,25,55,60,73,78,98,104,119,126,53,65,4,4.7,7,4.2,8,5.3,66.8
124,2,124_2,339,97.5,239.9,8.8,11.1,15.958,12.827,19.686,13.016,161.558,141.772,19,34,55,66,112,133,178,196,237,254,290,308,108,139,8.8,11.1,15.8,12.7,19.3,12.7,159.5
124,3,124_3,439,97.5,363.3,13.1,13.837,21.654,13.362,23.896,15.348,268.495,243.109,39,61,106,125,180,202,254,276,321,341,379,401,174,216,13.1,13.7,21.4,13.1,23.2,14.9,263.9
124,4,124_4,739,97.5,622.6,24.2,28.209,33.979,37.648,35.49,36.888,447.447,381.5,52,86,170,202,299,336,420,458,538,574,636,671,284,356,24.2,27.9,33,36.2,33.8,34.8,432.7
124,5,124_5,939,97.5,904.8,40.356,39.474,47.769,56.91,43.235,55.188,660.722,555.616,71,121,217,258,355,406,516,568,666,712,802,852,341,432,40.2,38.7,46.3,54.2,40.7,51.1,633.6
124,6,124_6,1039,97.5,758.4,27.766,21.318,53.837,42.735,35.31,55.272,558.032,486.845,61,112,205,249,374,424,531,573,739,795,895,949,344,446,27.7,20.9,52.1,40.7,33,50.8,533.2
125,1,125_1,196,115.76471,123.3,5.4,4,9.3,8.686,8.383,7.979,80.171,72.192,9,26,49,52,70,80,106,119,130,140,164,179,128,145,5.4,4,9.3,8.6,8.3,7.8,79.9
125,2,125_2,416,115.76471,315.4,11,11.7,18.281,23.46,20.91,21.012,214.118,179.968,25,35,68,85,134,151,204,229,289,312,358,379,284,323,11,11.7,18.1,23,20.4,20.4,210.8
125,3,125_3,615,115.76471,518.6,14.8,17.372,24.48,29.046,30.68,36.75,379.662,341.697,53,83,148,175,252,275,334,357,456,482,540,565,449,509,14.8,17.2,24,28.2,29.5,35,369.9
125,4,125_4,884,115.76471,862.2,31.08,31.855,39.449,51.87,52.364,56.106,634.036,565.77,78,108,193,235,339,379,471,518,646,687,778,821,632,719,31,31.3,38.3,49.7,49.4,52.2,610.3
125,5,125_5,1119,115.76471,1063,41.35,43.076,46.518,61.798,62.424,63.83,798.716,721.036,95,135,253,305,444,503,629,681,819,872,983,1033,805,916,41,42.2,44.7,58.3,57.8,58.2,760.8
126,1,126_1,105,100.64516,76.9,3,3,7,8,5,3,47.914,43,9,11,30,32,41,46,56,61,71,74,89,91,39,48,3,3,7,8,5,3,47.9
126,2,126_2,254,100.64516,213.9,9.4,11.1,11.787,23.23,15.453,11.628,132.988,114.424,26,38,60,71,98,113,138,152,175,188,210,224,94,118,9.4,11.1,11.7,23,15.3,11.4,132
126,3,126_3,465,100.64516,508.7,25.1,28.482,35.904,32.64,31.312,28.54,336.283,286.353,47,69,112,137,212,240,276,295,322,347,381,413,204,249,25.1,28.2,35.2,32,30.4,27.6,330.2
126,4,126_4,616,100.64516,679.5,38.15,34.542,34.571,47.802,37.024,38.01,467.456,393.344,72,105,162,193,289,321,370,401,440,473,515,552,277,337,38.1,34.2,33.7,46.4,35.6,36.2,455.3
126,5,126_5,800,100.64516,892.3,42.361,48.235,47.824,62.078,53.85,46.07,623.723,527.841,87,124,199,245,365,405,481,521,580,624,674,719,349,428,42.1,47.3,46.4,59.4,51,43.3,602.8
126,6,126_6,992,100.64516,909.6,47.672,43.944,32.769,69.854,52.751,58.428,646.937,529.028,126,170,269,324,471,532,607,664,733,786,840,897,449,549,47.2,42.9,31.4,65.9,49.3,54.1,618.8
127,1,127_1,356,119.60465,166.6,5,9.696,9.696,5.555,7.752,16.32,114.862,98.458,39,52,101,114,126,139,155,164,235,247,282,289,232,266,5,9.6,9.6,5.5,7.6,16,113.3
127,2,127_2,465,119.60465,367.1,12.3,16.362,16.362,14.688,17.819,22.83,274.045,236.169,34,57,137,153,173,189,217,252,323,342,398,411,318,363,12.3,16.2,16.2,13.4,17.3,22,269.7
127,3,127_3,707,119.60465,677.9,26.6,25.888,25.908,31.518,30.87,43.566,516.225,431.169,45,80,200,227,258,285,334,374,510,538,625,652,500,568,26.6,25.4,25.4,30.6,29.4,41.1,499.4
127,4,127_4,1122,119.60465,1153.6,48.38,42.234,42.761,45.57,57.688,74.618,902.393,763.653,74,118,267,318,382,433,522,564,756,814,971,1022,736,847,48.2,41.3,41.3,41.4,53.8,68.2,859.4
127,5,127_5,1224,119.60465,1371.1,53.451,48.307,64.046,54.02,66.204,77.77,1084.828,899.368,93,149,311,367,456,517,599,639,818,865,1039,1089,799,920,53.1,46.9,61.4,49,61.3,70.7,1028.7
127,6,127_6,1631,119.60465,1737.5,66.803,69.472,70.808,89.64,90.86,101.2,1365.374,1144.604,95,172,425,496,603,674,806,868,1083,1153,1399,1456,1060,1221,66.3,66.8,66.8,81,82.6,92,1282
128,1,128_1,300,128.43243,163.1,4,4,9.646,7.07,4.886,8.772,126.462,101.268,9,12,53,56,97,110,161,165,200,211,226,239,222,249,4,4,9.6,7,4.8,8.6,125.1
128,2,128_2,378,128.43243,393.3,12.8,12.12,16.16,16.32,16.32,14.42,311.182,253.502,34,53,106,117,167,181,227,241,278,287,312,325,304,340,12.8,12,16,16,16,14,306.5
128,3,128_3,829,128.43243,786.3,24.612,26.827,33.269,24.024,36.04,28.141,641.461,535.761,74,103,190,219,317,347,448,489,609,633,701,729,686,767,24.6,26.4,32.3,23.1,34,26.3,619.6
128,4,128_4,1260,128.43243,1239.4,40.905,56.341,51.87,48.364,51.23,45.98,1015.19,860.75,125,178,325,381,537,585,740,786,933,967,1067,1115,1042,1167,40.5,54.7,49.4,45.2,47,41.8,960.8
128,5,128_5,1316,128.43243,1435.4,50.399,59.119,59.366,55.568,64.82,54.01,1179.56,982.22,128,185,355,423,595,647,794,849,995,1036,1125,1174,1098,1228,49.9,57.2,56.1,51.5,59,49.1,1112.6
128,6,128_6,1894,128.43243,2113.1,76.679,53.574,100.88,74.47,85.25,121,1754.024,1436.564,171,242,472,545,756,821,1055,1131,1342,1407,1552,1633,1507,1697,75.5,51.2,94,67.7,77.5,110,1637.2
129,1,129_1,263,125.51724,152.6,4,5.4,9.33,8.686,8.383,8.466,109.832,89.534,23,26,49,66,93,103,129,142,178,188,224,234,176,201,4,5.4,9.3,8.6,8.3,8.3,108.7
129,2,129_2,395,125.51724,250.2,8,7.6,11.716,11.716,14.28,12.154,189.096,153.149,39,46,77,98,129,144,178,194,278,290,338,356,275,313,8,7.6,11.6,11.6,14,11.8,185.6
129,3,129_3,726,125.51724,643.2,28.3,33.532,25.398,25.956,22.781,25.864,501.862,409.752,47,76,139,167,255,285,345,371,497,524,628,655,491,560,27.3,33.2,24.9,24.2,21.7,24.4,487.5
129,4,129_4,1059,125.51724,997.6,45.391,51.612,42.034,37.099,42.727,46.529,780.615,630.046,64,110,218,268,356,401,493,531,691,739,886,935,678,782,44.3,49.6,39.8,34.4,40,40.8,748.7
129,5,129_5,1377,125.51724,1229.2,53.915,54.384,59.536,51.256,64.092,63.03,960.855,804.985,91,155,302,368,474,536,687,743,935,1000,1188,1247,918,1052,52.5,50.8,54.9,47,57.8,56.3,909.9
130,1,130_1,137,92.30769,70.6,3.8,3,3.5,4,7.3,4.444,44.719,39.063,11,21,25,27,31,38,71,74,81,89,109,125,69,81,3.8,3,3.5,4,7.3,4.4,44.6
130,2,130_2,227,92.30769,176.3,6.4,5.1,9.4,7.575,10.403,20.34,118.843,90.039,17,35,43,66,82,94,135,146,165,176,198,207,132,153,6.4,5.1,9.4,7.5,10.3,20,117.6
130,3,130_3,441,92.30769,432.6,23.4,22.4,15.554,24.582,25.212,27.295,302.33,238.723,17,40,74,98,123,157,234,256,297,320,368,394,228,271,23.4,22.4,15.4,24.1,24.5,26.5,296.3
130,4,130_4,640,92.30769,628.6,31.4,38.178,31.387,34.402,38.584,34.125,438.254,355.325,28,59,103,141,187,223,345,379,435,473,545,577,333,397,31.4,37.8,30.9,33.4,37.1,32.5,425.5
130,5,130_5,814,92.30769,838.1,42.9,49.389,55.692,44.096,48.405,52.843,575.831,467.947,36,79,137,185,240,293,437,480,552,599,689,733,425,506,42.9,48.9,54.6,42.4,46.1,49.5,553.7
